2025-05-24 13:56:22.026 | INFO     | Core.Chunk.DocChunk:build_chunks:27 - Starting chunk the given documents
2025-05-24 13:56:22.029 | INFO     | Core.Storage.ChunkKVStorage:_persist:105 - Writing data into ./my_result/multihop-rag/lgraphrag_kg_graph/chunk_storage_chunk_data_idx.pkl and ./my_result/multihop-rag/lgraphrag_kg_graph/chunk_storage_chunk_data_key.pkl
2025-05-24 13:56:22.029 | INFO     | Core.Chunk.DocChunk:build_chunks:74 - ✅ Finished the chunking stage
2025-05-24 13:56:22.029 | INFO     | Core.GraphRAG:_update_costs_info:205 - Chunking stage cost: Total prompt token: 0, Total completeion token: 0, Total cost: 0
2025-05-24 13:56:22.029 | INFO     | Core.GraphRAG:_update_costs_info:207 - Chunking time(s): 0.00
2025-05-24 13:56:22.029 | INFO     | Core.Graph.BaseGraph:build_graph:41 - Starting build graph for the given documents
2025-05-24 13:56:22.029 | INFO     | Core.Storage.NetworkXStorage:load_graph:97 - Force rebuilding the graph
2025-05-24 13:57:17.088 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.015 | Max budget: $10.000 | Current cost: $0.015, prompt_tokens: 2093, completion_tokens: 740
2025-05-24 13:57:56.501 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.042 | Max budget: $10.000 | Current cost: $0.027, prompt_tokens: 3286, completion_tokens: 1447
2025-05-24 13:58:18.338 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.061 | Max budget: $10.000 | Current cost: $0.019, prompt_tokens: 2257, completion_tokens: 1020
2025-05-24 13:58:26.721 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.094 | Max budget: $10.000 | Current cost: $0.033, prompt_tokens: 3229, completion_tokens: 1932
2025-05-24 13:58:37.409 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.129 | Max budget: $10.000 | Current cost: $0.034, prompt_tokens: 3267, completion_tokens: 2048
2025-05-24 13:59:18.731 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.151 | Max budget: $10.000 | Current cost: $0.023, prompt_tokens: 4285, completion_tokens: 822
2025-05-24 13:59:43.473 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.186 | Max budget: $10.000 | Current cost: $0.034, prompt_tokens: 4247, completion_tokens: 1804
